name,followers_count,following_count,statuses_count,listed_count,date
Amber Nordling,0.0,2.0,2.0,0.0,2011/04/10
jojo,0.0,12.0,13.0,0.0,2013/04/30
Emma Wayne,21.0,3.0,18.0,0.0,2012/10/09
محمد الحصي,1.0,9.0,3.0,0.0,2013/08/17
Erika Gelencsér,8.0,54.0,10.0,0.0,2012/01/30
topo perez,2.0,84.0,4.0,0.0,2012/08/29
Ch!k0 G3R,26.0,83.0,295.0,0.0,2011/02/10
りおこ,1.0,1.0,15.0,0.0,2012/04/30
@GabrielHilbert,127.0,295.0,255.0,0.0,2010/10/19
@MARULITUASIAHAAN,8.0,64.0,1.0,0.0,2012/10/11
C科の誰かさん,7.0,22.0,17.0,0.0,2013/02/16
yaheily biaggi,0.0,0.0,2.0,0.0,2012/12/21
Speech Therapy Ideas,16.0,28.0,10.0,1.0,2013/08/24
april goodwin,13.0,4.0,16.0,0.0,2012/01/03
Camila,10.0,0.0,2.0,0.0,2010/05/10
Bantat_seabreaze,38.0,116.0,251.0,0.0,2013/02/23
leno,9.0,16.0,139.0,0.0,2012/11/14
♔ marreta,1005.0,1000.0,7895.0,0.0,2011/12/18
Shiam,19.0,73.0,19.0,0.0,2013/05/04
valcicleiasouza,3.0,23.0,4.0,0.0,2012/01/14
ciMpLuk_tHa,14.0,32.0,3.0,0.0,2011/12/28
